Mu1_PT Mu2_PT Mu1_P Mu2_P tot_PT VTXCHI2 ISO MASS
0.5048843353852863 10.047968139254369 108.67830875186222 418.7722009005416 9.94835458363916 10.900830071206142 -0.2677598297595978 5.4315755325764155
2.3769163617771847 2.8677870273246127 3.259937249327676 5.758319219845789 0.5971111205612383 7.726660517148102 -0.09104090929031373 5.369218436315188
2.745117927139884 2.083753848006545 21.563600654100256 5.886995724765843 1.1418869598695671 5.365484542350943 0.4267700910568237 5.3859609172420075
2.456456670746952 3.258238275100193 36.856713708727405 40.73208411947755 2.0996098599456805 5.385230103060281 -0.09780973941087721 5.344424057708214
4.603656526503759 3.1437092138968517 53.19638225052715 10.199124273012535 7.66901102767452 3.7009150032397695 0.3545606136322021 5.389952665471581
7.273734925409897 1.108100450604427 14.727573195799527 9.606522900034578 7.997501973432751 3.0890248945142864 -0.1325191706418991 5.364976256348979
4.275254424007071 1.6744620087323243 4.964726270684416 2.3526573527019887 2.765437832032807 9.244497109497857 -0.1265536993741989 5.338839049203154
3.7329519558345976 0.46434973562648346 3.7581942104253967 4.07279283965734 3.5223084716545627 3.301907828554259 -0.5025553703308105 5.374226754159269
4.533159873864572 2.1595603450974927 105.53795779444619 14.833538012705066 5.75664031622255 14.413738799995585 0.2998669743537903 5.328750190082178
3.3939234365823854 1.138822037693347 3.396992716036464 4.898894135251387 3.9938638526593273 3.1604606145804297 0.4091949462890625 5.368248561579084
1.3174888660593183 3.1259206473261396 49.03992320646269 19.8707415999 2.8554708856608895 5.246350141119246 -0.5027773380279541 5.326242043115964
4.2919622331863465 3.1832540947897385 109.17724083683318 126.06510433056027 5.481643792532344 11.182282760171558 0.30851736664772034 5.347836929513103
9.424084848616085 0.8074432538730223 16.45330226779834 4.710029347682026 9.515507239517973 2.711960801557849 -0.041452035307884216 5.3674012729257345
1.7443815712842416 4.0231391525448625 11.94712044172319 17.23529046197353 2.4137428588956427 10.238012476897435 0.23559503257274628 5.395986327352221
1.2708285866012228 5.664612619083543 31.84389333948736 201.25541126844095 4.525458875345876 11.11322983889476 0.1827952265739441 5.348159852354934
2.7951104925969132 0.1689242081791227 3.914098552288314 12.265398247045654 2.858999023990219 3.1604606145804297 0.4091949462890625 5.3419523169024155
2.515312172906249 3.0341635612522437 5.415560144541188 15.409872278623514 2.9102125184323464 4.8760412666765 -2.0 5.39538936920635
1.1112542040015803 6.667890834252387 5.793802608517603 34.62030617758696 5.651376569351138 3.2949485987060565 0.44742971658706665 5.354257343610567
3.7391807845050566 2.3459348471854238 13.916945976202873 2.5113358348921446 6.0749206776184 7.322820211933851 -0.3591395318508148 5.341891422343001
2.9102965087724226 3.2588145049662094 71.24150869170315 47.63733955243324 3.410120288223133 7.214023446301597 -0.0403951071202755 5.39078119089479
2.8241557985512924 0.7442197885728589 4.51585516345821 12.521103523126321 2.165912495283197 9.649832125100978 0.03509504720568657 5.375441599128495
0.9494437593351673 4.218745838217967 14.910307477338995 12.199248615011639 3.6416650378110145 7.5943209902265725 -0.12975408136844635 5.349847294349013
3.3251912584883114 2.574195616617011 74.94250208472313 73.89722351020274 2.566960384947736 3.8060908341312953 0.08707049489021301 5.36306212218288
2.8871163317822166 2.4364415175421525 35.13760237243428 112.64394918140648 3.7472504329926046 8.889921740991602 0.11549525707960127 5.376248410629065
5.217753061056248 1.3118314724437175 17.72852486159462 2.0111390890524654 4.479154156164504 9.054907351742589 -0.37593507766723633 5.353265843504295
1.1800743925427506 6.173730203926753 9.575735687046594 45.50074793632813 5.038169406680634 10.238012476897435 0.23559503257274628 5.370445007537117
2.1131494797843704 0.9977854202998284 8.089234952042247 1.0974365987617336 1.276617084185358 8.277599566163728 -0.15642297267913818 5.369158539020047
5.9695253701062585 1.1781027207930932 197.08070081121193 28.023823404373353 4.798442447039136 3.8454643149037175 -0.27999237179756165 5.378607488484465
2.2023571397156676 3.732024148813119 16.185479564738426 34.763884032956916 2.5967368346410207 18.184079636079492 -0.06979894638061523 5.384822867957136
2.289943119142608 3.8983033718299867 3.903692698924847 4.144244545953917 3.8412337982087896 3.8497900853456617 -0.15059983730316162 5.403077510560949
1.6967536489343764 3.3140019034747925 8.136462030229886 93.41916670398255 4.422337525143748 9.065508385738852 -0.1027894839644432 5.367891470350123
3.0505114078196636 5.2526586026238995 21.967930883121358 53.572370515312 6.4701864389265396 7.214023446301597 -0.0403951071202755 5.396460772134821
3.4614886943981182 14.51279223606925 16.84305412186679 111.69931757987982 17.487052881762985 1.4951950422929772 -0.06843551248311996 5.332572905487434
8.594153066978798 2.94684796230099 55.32075046702408 22.78500862260678 10.270337913347852 3.9768523937210793 -0.33789756894111633 5.351621221572327
1.308583372061126 3.7859483947840857 12.417979188376261 8.547456261472036 3.25365835384485 1.7711948461747475 -0.297024667263031 5.34089866131059
6.809033105060314 1.0143853172163904 42.06538357353384 35.03035957459274 7.6671723898642306 2.337137452213806 0.017505645751953125 5.3606385935469625
2.9864180460519107 7.780057701031254 6.2743818947380205 26.93296834062902 9.697438749459419 9.708294195552803 0.02833591401576996 5.375038174168491
1.167012786552234 0.9988277208684736 7.3530538619347245 149.05823939169633 1.1241064955676603 3.3509905239286226 -0.17388069629669187 5.4016751527470594
